PortCode,City,StateCode,Country
ALC,Alcan, AK             ,United States
ANC,Anchorage, AK         ,United States
BAR,Baker Aaf - Baker Island, AK,United States
DAC,Daltons Cache, AK     ,United States
PIZ,Dew Station Pt Lay Dew, AK,United States
DTH,Dutch Harbor, AK      ,United States
EGL,Eagle, AK             ,United States
FRB,Fairbanks, AK         ,United States
HOM,Homer, AK                        ,United States
HYD,Hyder, AK             ,United States
JUN,Juneau, AK            ,United States
5KE,Ketchikan, AK,United States
KET,Ketchikan, AK         ,United States
MOS,Moses Point Intermediate, AK,United States
NIK,Nikiski, AK           ,United States
NOM,Nom, AK               ,United States
PKC,Poker Creek, AK       ,United States
ORI,Port Lions Spb, AK,United States
SKA,Skagway, AK           ,United States
SNP,St. Paul Island, AK,United States
TKI,Tokeen, AK,United States
WRA,Wrangell, AK          ,United States
HSV,Madison County - Huntsville, AL,United States
MOB,Mobile, AL            ,United States
LIA,Little Rock, AR,United States
ROG,Rogers Arpt, AR,United States
DOU,Douglas, AZ           ,United States
LUK,Lukeville, AZ         ,United States
MAP,Mariposa         , AZ,United States
NAC,Naco, AZ              ,United States
NOG,Nogales, AZ           ,United States
PHO,Phoenix, AZ           ,United States
POR,Portal, AZ,United States
SLU,San Luis, AZ          ,United States
SAS,Sasabe, AZ            ,United States
TUC,Tucson, AZ            ,United States
YUI,Yuma, AZ               ,United States
AND,Andrade, CA           ,United States
BUR,Burbank, CA,United States
CAL,Calexico, CA          ,United States
CAO,Campo, CA              ,United States
FRE,Fresno, CA            ,United States
ICP,Imperial County, CA   ,United States
LNB,Long Beach, CA         ,United States
LOS,Los Angeles, CA       ,United States
BFL,Meadows Field - Bakersfield, CA,United States
OAK,Oakland, CA  ,United States
ONT,Ontario, CA,United States
OTM,Otay Mesa, CA          ,United States
BLT,Pacific Hwy Station, CA,United States
PSP,Palm Springs, CA,United States
SAC,Sacramento, CA        ,United States
SLS,Salinas, CA,United States
SDP,San Diego, CA,United States
SFR,San Francisco, CA     ,United States
SNJ,San Jose, CA          ,United States
SLO,San Luis Obispo, CA   ,United States
SLI,San Luis Obispo, CA,United States
SPC,San Pedro, CA         ,United States
SYS,San Ysidro, CA        ,United States
SAA,Santa Ana, CA         ,United States
STO,Stockton, CA,United States
TEC,Tecate, CA            ,United States
TRV,Travis-Afb, CA        ,United States
APA,Arapahoe County, CO,United States
ASE,Aspen, CO,United States
COS,Colorado Springs, CO,United States
DEN,Denver, CO            ,United States
DRO,La Plata - Durango, CO,United States
BDL,Bradley International, CT,United States
BGC,Bridgeport, CT        ,United States
GRT,Groton, CT            ,United States
HAR,Hartford, CT          ,United States
NWH,New Haven, CT         ,United States
NWL,New London, CT        ,United States
TST,Newington Data Center Test, CT,United States
WAS,Washington Dc         ,,United States
DOV,Dover Afb, DE,United States
DVD,Dover-Afb, DE         ,United States
WLL,Wilmington, DE        ,United States
BOC,Bocagrande, FL        ,United States
SRQ,Bradenton - Sarasota, FL,United States
CAN,Cape Canaveral, FL    ,United States
DAB,Daytona Beach International, FL,United States
FRN,Fernandina, FL        ,United States
FTL,Fort Lauderdale, FL   ,United States
FMY,Fort Myers, FL        ,United States
FPF,Fort Pierce, FL       ,United States
HUR,Hurlburt Field, FL,United States
GNV,J R Alison Muni - Gainesville, FL,United States
JAC,Jacksonville, FL      ,United States
KEY,Key West, FL          ,United States
LEE,Leesburg Municipal Airport, FL,United States
MLB,Melbourne, FL,United States
MIA,Miami, FL             ,United States
APF,Naples, FL,United States
OPF,Opa Locka, FL,United States
ORL,Orlando, FL           ,United States
PAN,Panama City, FL       ,United States
PEN,Pensacola, FL         ,United States
PCF,Port Canaveral, FL    ,United States
PEV,Port Everglades, FL   ,United States
PSJ,Port St Joe, FL       ,United States
SFB,Sanford, FL           ,United States
SGJ,St Augustine Arpt, FL,United States
SAU,St Augustine, FL      ,United States
FPR,St Lucie County, FL,United States
SPE,St Petersburg, FL     ,United States
TAM,Tampa, FL             ,United States
WPB,West Palm Beach, FL   ,United States
ATL,Atlanta, GA           ,United States
BRU,Brunswick, GA         ,United States
AGS,Bush Field - Augusta, GA,United States
SAV,Savannah, GA          ,United States
AGA,Agana, GU             ,United States
HHW,Honolulu, HI          ,United States
OGG,Kahului - Maui, HI,United States
KOA,Keahole-Kona, HI      ,United States
LIH,Lihue, HI             ,United States
CID,Cedar Rapids/Iowa City, IA,United States
DSM,Des Moines, IA,United States
BOI,Air Term. (Gowen Fld) Boise, ID,United States
EPI,Eastport, ID          ,United States
IDA,Fanning Field - Idaho Falls, ID,United States
PTL,Porthill, ID          ,United States
